name,biography,photo,birth_date,death_date,nationality
Dave Farrow,"Kỷ lục gia Guinness về trí nhớ người Canada. Ông là doanh nhân và huấn luyện viên về kỹ năng ghi nhớ, đọc nhanh.",,1975-10-01,,Canada
David A. Carbonell,"Tiến sĩ tâm lý học lâm sàng, chuyên gia điều trị các chứng rối loạn lo âu và sợ hãi. Tác giả cuốn 'The Worry Trick'.",,,,Hoa Kỳ
David A. Phillips,"Tiến sĩ, chuyên gia về Thần số học (Numerology). Tác phẩm nổi tiếng nhất của ông (được biên dịch lại) là 'Thay đổi cuộc sống với Nhân số học'.",,1934-01-01,1993-01-01,Hoa Kỳ
David A. Sinclair,"Nhà sinh học người Mỹ gốc Úc, Giáo sư Di truyền học tại Đại học Harvard. Ông là chuyên gia hàng đầu thế giới về nghiên cứu chống lão hóa, di truyền học biểu sinh và tác giả cuốn sách bán chạy 'Lifespan' (Tại sao chúng ta già).",,1969-06-26,,Úc
David Baldacci,Tiểu thuyết gia trinh thám và pháp lý nổi tiếng người Mỹ. Các tác phẩm của ông thường xuyên nằm trong danh sách bán chạy nhất của New York Times.,,1960-05-08,,Hoa Kỳ
David Goldwich,"Luật sư, diễn giả và chuyên gia đàm phán. Tác giả các cuốn sách về kỹ năng thuyết phục và giải quyết xung đột.",,1959-01-01,,Hoa Kỳ
David L. Rogers,"Giáo sư tại Trường Kinh doanh Columbia, chuyên gia toàn cầu về chuyển đổi số. Tác giả cuốn sách 'The Digital Transformation Playbook'.",,1970-01-01,,Hoa Kỳ
David McRaney,"Nhà báo khoa học, tác giả của blog và cuốn sách tâm lý học nổi tiếng 'Bạn không thông minh lắm đâu' (You Are Not So Smart).",,,,Hoa Kỳ
David P. Norton,"Nhà lý thuyết kinh doanh người Mỹ, đồng sáng tạo mô hình 'Thẻ điểm cân bằng' (Balanced Scorecard) - công cụ quản trị chiến lược hàng đầu thế giới.",,1941-07-22,2023-06-12,Hoa Kỳ
David Perlmutter,"Bác sĩ thần kinh học, tác giả sách bán chạy về mối liên hệ giữa dinh dưỡng và não bộ. Tác phẩm nổi tiếng nhất là 'Brain Maker' (Sức mạnh của não bộ).",,1954-12-31,,Hoa Kỳ
David R. Anderson,Giáo sư danh dự về Phân tích định lượng và Quản trị vận hành tại Đại học Cincinnati. Tác giả của nhiều giáo trình thống kê kinh doanh chuẩn mực.,,,,Hoa Kỳ
David R. Hawkins,"Tiến sĩ y khoa, bác sĩ tâm thần và nhà nghiên cứu tâm linh. Ông nổi tiếng với bản đồ ý thức và cuốn sách 'Power vs. Force' (Sức mạnh nội tại).",,1927-03-06,2012-09-19,Hoa Kỳ
David R.Hawkins,"Tiến sĩ y khoa, bác sĩ tâm thần và nhà nghiên cứu tâm linh. Ông nổi tiếng với bản đồ ý thức và cuốn sách 'Power vs. Force' (Sức mạnh nội tại).",,1927-03-06,2012-09-19,Hoa Kỳ
David Rundell,"Cựu nhà ngoại giao Mỹ, chuyên gia hàng đầu về Ả Rập Xê Út. Tác giả cuốn sách 'Vision or Mirage' phân tích về vương quốc này.",,,,Hoa Kỳ
David Silverstein,Chuyên gia tư vấn đổi mới sáng tạo và chiến lược kinh doanh. Tác giả của nhiều sách về phương pháp Lean Six Sigma và tư duy đột phá.,,1965-01-01,,Hoa Kỳ
David Vandermeulen,"Tác giả truyện tranh người Bỉ, nổi tiếng với các tác phẩm tiểu sử bằng tranh (graphic biography) về các nhân vật lịch sử và khoa học.",,1968-12-19,,Bỉ
David Walliams,"Diễn viên hài, giám khảo Britain's Got Talent và là một trong những tác giả sách thiếu nhi bán chạy nhất nước Anh hiện nay.",,1971-08-20,,Anh
Dawn Fotopulos,"Giáo sư, chuyên gia tài chính doanh nghiệp nhỏ. Bà giúp các chủ doanh nghiệp hiểu rõ các con số tài chính để kinh doanh có lãi.",,,,Hoa Kỳ
Dawn Maslar,"Giáo sư sinh học, chuyên gia về 'khoa học tình yêu'. Tác giả cuốn sách 'Men Chase, Women Choose' giải mã hành vi hẹn hò dưới góc độ sinh học.",,,,Hoa Kỳ
Deepak Chopra,"Bác sĩ, tác giả người Mỹ gốc Ấn. Ông là một trong những nhân vật nổi tiếng nhất thế giới về y học tâm thể (mind-body medicine) và phong trào New Age.",,1946-10-22,,Hoa Kỳ
Delia Owens,Nhà động vật học và văn sĩ người Mỹ. Tác giả của tiểu thuyết hiện tượng toàn cầu 'Xa ngoài kia nơi loài tôm hát' (Where the Crawdads Sing).,,1949-04-04,,Hoa Kỳ
Dennis J. Sweeney,"Giáo sư Phân tích định lượng, đồng tác giả của nhiều giáo trình đại học nổi tiếng về thống kê và khoa học quản trị.",,1941-01-01,,Hoa Kỳ
Dennis Susa,Tác giả/Dịch giả (Thông tin chi tiết đang cập nhật).,,,,
Derek Lidow,"Giáo sư thực hành tại Đại học Princeton, doanh nhân và chuyên gia khởi nghiệp. Tác giả các cuốn sách về lãnh đạo và xây dựng doanh nghiệp như 'Startup Leadership'.",,1951-01-01,,Hoa Kỳ
Diana Wynne Jones,"Nhà văn giả tưởng người Anh, nổi tiếng với các tác phẩm thiếu nhi và thanh thiếu niên như 'Lâu đài bay của pháp sư Howl' (Howl's Moving Castle).",,1934-08-16,2011-03-26,Anh
Diane Coyle,"Nhà kinh tế học người Anh, Giáo sư Chính sách công tại Đại học Cambridge. Bà chuyên viết về kinh tế học kỹ thuật số và chỉ số GDP.",,1961-12-02,,Anh
Diêm Liên Khoa,"Nhà văn Trung Quốc nổi tiếng và gây tranh cãi, thường được so sánh với Franz Kafka. Tác giả của 'Đinh Trang Mộng', 'Người tìm niềm vui'.",,1958-08-24,,Trung Quốc
Dolphin Press,Thương hiệu xuất bản sách.,,,,Việt Nam
Don Failla,Chuyên gia đào tạo tiếp thị mạng lưới (MLM) nổi tiếng thế giới. Tác giả cuốn sách kinh điển '45 giây tạo nên sự thay đổi' (The 45 Second Presentation).,,1936-01-01,,Hoa Kỳ
Don Gabor,"Chuyên gia giao tiếp và 'nghệ thuật nói chuyện phiếm' (small talk). Tác giả cuốn sách bán chạy 'Hỏi thông minh, Đáp khôn khéo'.",,1948-01-01,,Hoa Kỳ
Don Green,Giám đốc điều hành của Quỹ Napoleon Hill. Ông là người lưu giữ và phát triển các di sản tri thức của Napoleon Hill về thành công và làm giàu.,,1941-01-01,,Hoa Kỳ
Don Miguel Ruiz,"Tác giả, thầy thuốc và giáo viên tâm linh người Mexico. Ông nổi tiếng nhất với cuốn sách 'Bốn thỏa ước' (The Four Agreements) dựa trên trí tuệ Toltec cổ đại.",,1952-08-27,,Mexico
Don Norman,"Nhà nghiên cứu, giáo sư và tác giả người Mỹ. Ông được coi là cha đẻ của trải nghiệm người dùng (UX) và tác giả cuốn 'Thiết kế của những vật dụng hàng ngày'.",,1935-12-25,,Hoa Kỳ
Dorothy Calimeris,Tác giả sách nấu ăn và cây bút ẩm thực. Bà chuyên viết các sách hướng dẫn nấu ăn lành mạnh và chế độ ăn chống viêm.,,,,Hoa Kỳ
Douglas Adams,"Nhà văn, nhà biên kịch người Anh. Tác giả của bộ tiểu thuyết khoa học viễn tưởng hài hước kinh điển 'Bí kíp quá giang vào Ngân Hà'.",,1952-11-03,2001-11-05,Anh
Douglas Stuart,"Nhà văn, nhà thiết kế thời trang người Mỹ gốc Scotland. Tác giả của tiểu thuyết 'Shuggie Bain' đoạt giải Booker năm 2020.",,1976-05-31,,Scotland
Doãn Kiến Lợi,"Chuyên gia giáo dục gia đình, thạc sĩ giáo dục người Trung Quốc. Tác giả cuốn sách bestseller 'Người mẹ tốt hơn là người thầy tốt'.",,1954-01-01,,Trung Quốc
Doãn Y Y,"Tác giả văn học mạng Trung Quốc, chuyên viết tiểu thuyết ngôn tình hiện đại.",,,,Trung Quốc
Dr Trung Dinh,"Tiến sĩ Kinh tế học (Đại học St. Gallen, Thụy Sĩ), chuyên gia tư vấn chiến lược. Tác giả cuốn 'Khung hoạch định chiến lược'.",,,,Việt Nam
Dr. Gleb Tsipursky,"Tiến sĩ, chuyên gia khoa học hành vi và quản lý rủi ro. Tác giả cuốn 'Never Go With Your Gut' (Đừng làm theo cảm tính), chuyên về ra quyết định dựa trên dữ liệu.",,1981-01-01,,Hoa Kỳ
Dr. Joe Dispenza,"Tiến sĩ, diễn giả, nhà nghiên cứu về thần kinh học, biểu sinh học và vật lý lượng tử. Ông nổi tiếng với các cuốn sách về sức mạnh tâm trí như 'Placebo' (Nhà giả dược).",,1962-03-24,,Hoa Kỳ
Dr. Joseph Murphy,"Tiến sĩ, mục sư và là một trong những nhân vật tiên phong của phong trào Tư duy Mới (New Thought). Tác giả cuốn sách kinh điển 'Sức mạnh tiềm thức'.",,,1981-12-16,Hoa Kỳ
Dr. Ryan Martin,"Giáo sư tâm lý học, được mệnh danh là 'Giáo sư Giận dữ' (The Anger Professor). Ông nghiên cứu và viết sách về cách hiểu và chuyển hóa cơn giận.",,,,Hoa Kỳ
Duncan Beedie,Tác giả và họa sĩ minh họa sách thiếu nhi người Anh. Các tác phẩm của ông thường có nét vẽ ngộ nghĩnh và hài hước.,,,,Anh
Dương Hương,"(Có thể là Dương Hướng) Nhà văn Việt Nam, nổi tiếng với tiểu thuyết 'Bến không chồng' phản ánh sâu sắc số phận con người sau chiến tranh.",,1949-01-01,,Việt Nam
Dương Hướng,Nhà văn tiêu biểu của văn học Việt Nam thời kỳ đổi mới. Tác phẩm 'Bến không chồng' của ông đã được dựng thành phim và đoạt Giải thưởng Hội Nhà văn năm 1991.,,1949-01-01,,Việt Nam
Dương Thị Thảo,"Tác giả/Biên dịch giả Việt Nam, thường tham gia biên soạn các sách về kỹ năng sống hoặc giáo dục.",,,,Việt Nam
Dương Trung Quốc,"Nhà sử học, chính trị gia nổi tiếng Việt Nam. Ông là Tổng thư ký Hội Khoa học Lịch sử Việt Nam và đại biểu Quốc hội nhiều khóa, nổi tiếng với kiến thức sâu rộng.",,1947-02-06,,Việt Nam
Dương Trí Vỹ,"Chuyên gia tâm lý, tác giả (thường là bút danh hoặc tên dịch giả cho các sách tâm lý học ứng dụng).",,,,Trung Quốc
Dật Danh,"(Khuyết danh/Vô danh) Thuật ngữ chỉ những tác phẩm văn học (thường là dân gian, cổ tích) không rõ tên tác giả cụ thể.",,,,
Dịch Dương,"(Dịch Dương Thiên Tỉ) Ca sĩ, diễn viên, vũ công nổi tiếng Trung Quốc, thành viên nhóm TFBoys. Anh cũng phát hành sách ảnh và nhật ký.",,2000-11-28,,Trung Quốc
E. F. Schumacher,"Nhà kinh tế học người Anh gốc Đức. Tác giả cuốn sách kinh điển 'Small Is Beautiful' (Nhỏ là đẹp), đề cao kinh tế học nhân văn và phát triển bền vững.",,1911-08-16,1977-04-09,Đức
ELLEN J. LANGER,"Giáo sư Tâm lý học tại Đại học Harvard, được mệnh danh là 'Mẹ đẻ của Chánh niệm' (Mother of Mindfulness) trong phương Tây. Bà nghiên cứu về sự chú tâm và sức khỏe.",,1947-03-25,,Hoa Kỳ
Eckhart Tolle,"Nhà tâm linh, tác giả nổi tiếng thế giới với cuốn 'Sức mạnh của hiện tại' (The Power of Now). Ông được coi là một trong những người có ảnh hưởng nhất về tâm linh đương đại.",,1948-02-16,,Đức
Edgar H. Schein,"Giáo sư danh dự tại MIT Sloan, cha đẻ của khái niệm 'Văn hóa doanh nghiệp'. Ông là người tiên phong trong lĩnh vực phát triển tổ chức.",,1928-05-03,2023-01-26,Hoa Kỳ
Edith Nesbit,"Nhà văn Anh, người tiên phong của dòng văn học giả tưởng thiếu nhi hiện đại. Tác giả của 'Lũ trẻ đường tàu' và 'Năm đứa trẻ và một quái vật'.",,,1924-04-05,Anh
Edmondo De Amicis,"Nhà văn, nhà báo người Ý. Tác giả của cuốn sách thiếu nhi kinh điển 'Những tấm lòng cao cả', chứa đựng những bài học đạo đức sâu sắc về tình người.",,,1908-11-03,Ý
Edogawa Ranpo,"Nhà văn Nhật Bản, ông tổ của thể loại truyện trinh thám tại Nhật. Bút danh của ông được lấy cảm hứng từ Edgar Allan Poe.",,,1965-07-28,Nhật Bản
Edward Dolnick,"Nhà văn, nhà báo khoa học người Mỹ. Ông chuyên viết về lịch sử nghệ thuật, khoa học và tội phạm với phong cách kể chuyện lôi cuốn.",,1952-10-11,,Hoa Kỳ
Eiichiro Oda,Họa sĩ truyện tranh (Mangaka) thiên tài người Nhật Bản. Tác giả của 'One Piece' - bộ truyện tranh bán chạy nhất lịch sử nhân loại.,,1975-01-01,,Nhật Bản
Eiji Yoshikawa,Tiểu thuyết gia lịch sử lỗi lạc của Nhật Bản. Tác giả của bộ tiểu thuyết kiếm hiệp kinh điển 'Musashi' (Miyamoto Musashi).,,,1962-07-09,Nhật Bản
Elaine Biech,"Chuyên gia tư vấn quản lý, tác giả và diễn giả. Bà chuyên viết về đào tạo và phát triển nhân sự (Training & Development).",,1947-01-01,,Hoa Kỳ
Eleonora De Pieri,"Họa sĩ minh họa sách thiếu nhi người Ý. Các tác phẩm của cô thường mang màu sắc tươi sáng, ngọt ngào và giàu chi tiết.",,,,Ý
Eliyahu M. Goldratt,"Nhà vật lý, chuyên gia quản trị người Israel. Tác giả của 'Mục tiêu' (The Goal) và cha đẻ của Lý thuyết Điểm hạn chế (Theory of Constraints).",,1947-03-31,2011-11-06,Israel
Elliott Saxby,"Chuyên gia trị liệu và giảng viên về Tantra, Yoga và chữa lành năng lượng.",,,,Anh
Els Van Geyte,"Tiến sĩ ngôn ngữ học, giảng viên tại Đại học Birmingham. Tác giả các giáo trình học tiếng Anh và luyện thi IELTS.",,1969-01-01,,Bỉ
Emanuele Bertossi,"Họa sĩ và tác giả sách tranh người Ý. Ông nổi tiếng với phong cách vẽ tay mộc mạc, giàu cảm xúc về thiên nhiên và trẻ thơ.",,1970-01-01,,Ý
Emeran Mayer,"Bác sĩ tiêu hóa, nhà thần kinh học. Ông là chuyên gia hàng đầu về mối liên hệ giữa não bộ và đường ruột (Mind-Gut Connection).",,1950-07-26,,Đức
Emily Bronte,Tiểu thuyết gia và nhà thơ Anh. Tác giả của cuốn tiểu thuyết duy nhất nhưng là kiệt tác văn học: 'Đồi gió hú' (Wuthering Heights).,,,,Anh
Emily Nagoski,"Tiến sĩ, chuyên gia giáo dục giới tính. Tác giả cuốn sách bán chạy 'Come as You Are' (Bản năng tình dục của phụ nữ).",,1977-01-01,,Hoa Kỳ
Epictetus,Triết gia Khắc kỷ Hy Lạp cổ đại. Ông dạy rằng triết học là một lối sống chứ không chỉ là lý thuyết. Tác phẩm của ông tập trung vào tự do nội tâm và đạo đức.,,,,Hy Lạp cổ đại
Eran Katz,"Kỷ lục gia trí nhớ người Israel, diễn giả và tác giả sách bán chạy. Ông nổi tiếng với các cuốn sách về kỹ năng ghi nhớ và trí tuệ Do Thái như 'Bí mật của một trí nhớ siêu phàm'.",,1965-01-18,,Israel
Eric Barker,"Tác giả và chủ blog nổi tiếng 'Barking Up the Wrong Tree'. Ông chuyên viết về khoa học hành vi, thành công và hạnh phúc dựa trên bằng chứng khoa học.",,1970-01-01,,Hoa Kỳ
Eric Jorgenson,"Tác giả, nhà đầu tư và chiến lược gia sản phẩm. Ông nổi tiếng với việc biên soạn cuốn sách 'The Almanack of Naval Ravikant' (Niên giám Naval Ravikant).",,,,Hoa Kỳ
Eric Ries,"Doanh nhân, blogger người Mỹ, cha đẻ của phong trào 'Khởi nghiệp tinh gọn' (The Lean Startup). Cuốn sách cùng tên của ông đã thay đổi cách các công ty khởi nghiệp xây dựng sản phẩm.",,1978-09-22,,Hoa Kỳ
Eric Schmidt,"Kỹ sư phần mềm, doanh nhân công nghệ người Mỹ. Ông là cựu CEO của Google và Chủ tịch điều hành của Alphabet Inc. Đồng tác giả cuốn 'How Google Works'.",,1955-04-27,,Hoa Kỳ
Erica Stanford,"Chính trị gia người New Zealand, Bộ trưởng Giáo dục. (Lưu ý: Kiểm tra xem đây có phải là tác giả bạn cần tìm hay là trùng tên).",,1978-01-01,,New Zealand
Erich Fromm,"Nhà tâm lý học xã hội, nhà phân tâm học và triết gia nhân văn người Đức. Tác giả của 'Nghệ thuật yêu' (The Art of Loving) và 'Trốn thoát tự do'.",,1900-03-23,1980-03-18,Đức
Erich Maria Remarque,"Nhà văn Đức, nổi tiếng thế giới với tiểu thuyết phản chiến 'Phía Tây không có gì lạ'. Tác phẩm của ông khắc họa sự tàn khốc của chiến tranh lên tâm hồn con người.",,,1970-09-25,Đức
Erin Meyer,Giáo sư tại trường kinh doanh INSEAD. Bà là chuyên gia về quản trị đa văn hóa và đồng tác giả cuốn 'No Rules Rules' (Quy tắc không quy tắc) về văn hóa Netflix.,,1971-08-22,,Hoa Kỳ
Erin Niimi Longhurst,"Tác giả mang hai dòng máu Anh - Nhật. Bà viết về văn hóa, lối sống và triết lý Nhật Bản như Japonisme và Omoiyari.",,,,Anh
Ernest Hemingway,"Nhà văn vĩ đại người Mỹ, giải Nobel Văn học 1954. Ông nổi tiếng với nguyên lý 'tảng băng trôi' và các tác phẩm kinh điển như 'Ông già và biển cả', 'Chuông nguyện hồn ai'.",,,1961-02-07,Hoa Kỳ
Ernest Van De Velde,Nhà sư phạm âm nhạc người Pháp. Tác giả của bộ giáo trình 'Phương pháp hoa hồng' (La Méthode Rose) dạy piano nổi tiếng cho trẻ em.,,,1951-01-01,Pháp
Ernesto Sirolli,Chuyên gia phát triển kinh tế địa phương người Ý. Ông nổi tiếng với bài TED Talk về cách giúp đỡ người khác hiệu quả và cuốn sách 'Ripples from the Zambezi'.,,1950-09-22,,Ý
Esther Duflo,"Nhà kinh tế học Pháp-Mỹ, giải Nobel Kinh tế 2019. Bà tiên phong trong việc sử dụng thử nghiệm ngẫu nhiên để giải quyết các vấn đề nghèo đói toàn cầu.",,1972-10-25,,Pháp
Esther Perel,"Chuyên gia trị liệu tâm lý người Bỉ, nổi tiếng với các nghiên cứu về trí tuệ cảm xúc trong tình yêu và sự không chung thủy. Tác giả 'Mating in Captivity'.",,1958-01-01,,Bỉ
Ethan Mollick,"Giáo sư tại Đại học Pennsylvania, chuyên gia về khởi nghiệp và đổi mới sáng tạo. Ông cũng nghiên cứu sâu về tác động của AI trong giáo dục và công việc.",,1975-01-01,,Hoa Kỳ
Eunjung Yoo,Tác giả/Họa sĩ minh họa người Hàn Quốc (thường viết sách thiếu nhi hoặc tản văn).,,,,Hàn Quốc
Federica Avanzi,Biên tập viên và tác giả sách thiếu nhi người Ý. Cô chuyên biên soạn các cuốn sách kiến thức lịch sử và văn hóa cho trẻ em.,,,,Ý
Foster Cline,"Bác sĩ tâm thần trẻ em, đồng sáng lập phương pháp nuôi dạy con 'Love and Logic' (Yêu thương và Lý trí).",,,,Hoa Kỳ
Frances Hodgson Burnett,Tiểu thuyết gia người Anh-Mỹ. Tác giả của những câu chuyện thiếu nhi kinh điển như 'Khu vườn bí mật' và 'Công chúa nhỏ'.,,,1924-10-29,Anh
Francoise Parrudin,Tác giả và họa sĩ minh họa sách thiếu nhi người Pháp.,,,,Pháp
Frank Herbert,"Tác giả khoa học viễn tưởng vĩ đại người Mỹ. Cha đẻ của bộ tiểu thuyết sử thi 'Dune' (Xứ Cát), tác phẩm sci-fi bán chạy nhất mọi thời đại.",,1920-08-10,1986-11-02,Hoa Kỳ
Franz Kafka,"Nhà văn người Bohemia nói tiếng Đức. Tác giả của những kiệt tác phi lý và ám ảnh như 'Hóa thân', 'Vụ án'.",,,1924-03-06,Cộng hòa Séc
Fred R. David,Giáo sư Quản trị chiến lược nổi tiếng thế giới. Tác giả của giáo trình 'Quản trị chiến lược' được sử dụng rộng rãi tại các trường đại học.,,,,Hoa Kỳ
Fredrik Backman,"Nhà văn, blogger người Thụy Điển. Tác giả của những cuốn tiểu thuyết hài hước nhưng cảm động như 'Người đàn ông mang tên Ove'.",,,1981-02-06,Thụy Điển
Frédéric Lenoir,"Triết gia, nhà xã hội học và nhà văn người Pháp. Ông viết nhiều sách về tâm linh, hạnh phúc và tôn giáo với văn phong dễ hiểu.",,1962-03-06,,Pháp
Fukuzawa Yukichi,"Nhà tư tưởng, nhà giáo dục khai sáng của Nhật Bản thời Minh Trị. Tác giả cuốn 'Khuyến học' và là người sáng lập Đại học Keio.",,,1901-03-02,Nhật Bản
Fyodor Dostoevsky,"Đại văn hào Nga, bậc thầy về phân tích tâm lý con người. Tác giả của những kiệt tác vĩ đại như 'Tội ác và trừng phạt', 'Anh em nhà Karamazov'.",,,,Nga
Fūmin,"Họa sĩ minh họa người Nhật Bản, thường vẽ bìa và minh họa cho các tiểu thuyết nhẹ (light novel) và sách văn học.",,,,Nhật Bản
George Samuel Clason,"Doanh nhân, nhà văn người Mỹ. Tác giả của cuốn sách làm giàu kinh điển 'Người giàu có nhất thành Babylon'.",,,1957-07-04,Hoa Kỳ
GS. Hoàng Phê,"Giáo sư, nhà ngôn ngữ học hàng đầu Việt Nam. Chủ biên của cuốn 'Từ điển tiếng Việt' uy tín nhất hiện nay.",,1919-07-15,2005-01-30,Việt Nam
GS. Trương Nguyện Thành,"Giáo sư Hóa học, nhà giáo dục người Mỹ gốc Việt. Ông nổi tiếng với phong cách giảng dạy đổi mới và cuốn sách 'Cha voi dạy con nên người'.",,1961-01-01,,Việt Nam
GS.TS. Ngô Đức Thịnh,"Giáo sư, Tiến sĩ khoa học, nhà nghiên cứu văn hóa dân gian hàng đầu Việt Nam. Nguyên Viện trưởng Viện Nghiên cứu Văn hóa.",,1944-01-01,2020-06-06,Việt Nam
Gabrielle Zevin,"Tiểu thuyết gia và biên kịch người Mỹ. Tác giả của cuốn sách bán chạy 'Ngày mai, ngày mai và ngày mai nữa' (Tomorrow, and Tomorrow, and Tomorrow) về tình bạn và trò chơi điện tử.",,1977-10-24,,Hoa Kỳ
Gareth Lewis,"Đạo diễn và biên kịch phim người Anh (Thông tin tác giả sách có thể trùng tên, cần kiểm tra lại tác phẩm cụ thể).",,1973-01-25,,Anh
Garett Byrne,Tác giả/Chuyên gia tài chính (Thông tin chi tiết đang cập nhật).,,,,
Gari,"(Nguyễn Yến Phượng) Tác giả trẻ Việt Nam, chuyên viết tản văn và sách kỹ năng sống cho người trẻ. Tác phẩm tiêu biểu: 'Nhắm mắt lại thấy Paris', 'Trưởng thành lấy đi điều gì'.",,,,Việt Nam
Gary G. Melyan,Tác giả chuyên viết về quản lý và tâm lý lãnh đạo (thường đồng tác giả với các chuyên gia khác).,,,,Hoa Kỳ
Gary Gutting,Giáo sư triết học tại Đại học Notre Dame. Ông chuyên viết các cuốn sách giới thiệu triết học dễ hiểu cho công chúng và nghiên cứu về triết học Pháp hiện đại.,,1942-11-04,2019-01-18,Hoa Kỳ
Gay Hendricks,"Nhà tâm lý học, tác giả và thầy dạy về phát triển bản thân. Ông nổi tiếng với cuốn sách 'The Big Leap' (Cú hích vĩ đại) về việc vượt qua giới hạn bản thân.",,1945-01-20,,Hoa Kỳ
Gege Akutami,"Họa sĩ truyện tranh (mangaka) Nhật Bản, tác giả của bộ manga đình đám toàn cầu 'Jujutsu Kaisen' (Chú thuật hồi chiến).",,1992-02-26,,Nhật Bản
Gehenna,"Nhóm tác giả/Họa sĩ truyện tranh Hàn Quốc (Manhwa), nổi tiếng với các tác phẩm hành động, giả tưởng.",,,,Hàn Quốc
Gene Stone,"Nhà văn, biên tập viên người Mỹ. Ông chuyên chấp bút (ghostwriter) cho nhiều người nổi tiếng và viết sách về lối sống thực dưỡng (plant-based diet).",,1951-06-10,,Hoa Kỳ
George Charles Selden,Nhà báo tài chính đầu thế kỷ 20. Tác giả cuốn sách kinh điển về đầu tư 'Tâm lý thị trường chứng khoán' (Psychology of the Stock Market).,,,,Hoa Kỳ
George Ivanoff,Tác giả sách thiếu nhi và thanh thiếu niên người Úc. Ông nổi tiếng với dòng sách tương tác 'You Choose' (Bạn chọn cốt truyện).,,,,Úc
George Roddam,"Nhà sử học nghệ thuật, giám tuyển và tác giả. Ông chuyên viết sách giới thiệu về nghệ thuật hiện đại và đương đại cho độc giả phổ thông.",,,,Anh
Gerard Do,(Gerard Dô) Tác giả/Chuyên gia Việt Nam (hoặc gốc Việt) chuyên về tài chính hoặc kỹ năng (Thông tin đang cập nhật).,,,,Việt Nam
Gerd Gigerenzer,"Nhà tâm lý học người Đức, chuyên gia về ra quyết định và đánh giá rủi ro. Ông nghiên cứu về cách con người dùng trực giác thông minh để giải quyết vấn đề.",,1947-03-09,,Đức
Geshe Michael Roach,"Nhà sư Phật giáo, doanh nhân và tác giả người Mỹ. Ông nổi tiếng toàn cầu với cuốn sách 'Năng đoạn kim cương', áp dụng triết lý Phật giáo vào kinh doanh.",,1952-12-17,,Hoa Kỳ
Gia Bảo,"Dịch giả uy tín tại Việt Nam, chuyên chuyển ngữ các tác phẩm văn học kinh điển và sách thiếu nhi.",,,,Việt Nam
Gill Rapley,"Bác sĩ, chuyên gia dinh dưỡng người Anh. Bà là người tiên phong và phổ biến phương pháp Ăn dặm bé chỉ huy (Baby-led Weaning - BLW).",,1955-01-01,,Anh
Gino Wickman,Doanh nhân và tác giả người Mỹ. Ông là người sáng lập Hệ thống vận hành doanh nghiệp (EOS) và tác giả cuốn sách 'Traction' (Sức bật).,,,,Hoa Kỳ
Giulia Enders,"Nhà khoa học, bác sĩ người Đức. Tác giả cuốn sách bán chạy toàn cầu 'Ruột ơi là ruột' (Gut), giúp phổ biến kiến thức về hệ tiêu hóa một cách hài hước.",,1990-01-01,,Đức
Giuliano Ferri,"Họa sĩ minh họa sách thiếu nhi người Ý. Tác phẩm của ông thường mang màu sắc ấm áp, nhẹ nhàng và giàu cảm xúc.",,,,Ý
Giáo Sư - Bác Sĩ: Hiromi Shinya,"Bác sĩ phẫu thuật nội soi nổi tiếng thế giới người Nhật. Ông là tác giả của bộ sách 'Nhân tố Enzyme', đề cao lối sống lành mạnh để phòng bệnh.",,1935-02-03,2018-08-01,Nhật Bản
Giáo Sư Makoto Shichida,"Nhà giáo dục nổi tiếng Nhật Bản, cha đẻ của Phương pháp Shichida - phương pháp giáo dục sớm kích hoạt tiềm năng não phải cho trẻ em.",,1929-07-28,2009-04-22,Nhật Bản
Giản Tư Trung,"Nhà giáo dục, doanh nhân, Hiệu trưởng Trường Doanh Nhân PACE. Ông là tác giả của cuốn sách 'Đúng Việc' và là người khởi xướng nhiều dự án khuyến đọc.",,1974-01-01,,Việt Nam
Goscinny,"Biên kịch truyện tranh huyền thoại người Pháp. Ông là cha đẻ của các nhân vật kinh điển như 'Astérix', 'Lucky Luke' và 'Nhóc Nicolas'.",,1926-08-14,1977-05-11,Pháp
Gosho Aoyama,"(Xem Aoyama Gosho) Họa sĩ truyện tranh Nhật Bản, tác giả của bộ truyện trinh thám 'Thám tử lừng danh Conan'.",,1963-06-21,,Nhật Bản
Grant Cardone,"Triệu phú tự thân, chuyên gia huấn luyện bán hàng người Mỹ. Tác giả của quy tắc '10X Rule' (Quy tắc X10) để đạt được thành công vượt trội.",,1958-03-21,,Hoa Kỳ
Grant Leboff,Chuyên gia tư vấn marketing và bán hàng kỹ thuật số hàng đầu tại Anh.,,,,Anh
Greer Hendricks,"Tiểu thuyết gia, cựu biên tập viên sách. Đồng tác giả của nhiều cuốn tiểu thuyết tâm lý kịch tính (thriller) bán chạy.",,1968-01-01,,Hoa Kỳ
Greg Piechota,"Nhà nghiên cứu truyền thông, chuyên gia về chiến lược kinh doanh báo chí và chuyển đổi số.",,,,Ba Lan
Guillaume Pitron,"Nhà báo, đạo diễn phim tài liệu người Pháp. Ông chuyên điều tra về các vấn đề địa chính trị liên quan đến tài nguyên và công nghệ xanh.",,1980-02-10,,Pháp
Guillem Balague,"Nhà báo thể thao nổi tiếng người Tây Ban Nha, chuyên gia về bóng đá. Ông đã viết nhiều cuốn tiểu sử về các ngôi sao như Messi, Ronaldo, Pep Guardiola.",,1968-02-11,,Tây Ban Nha
